"Customer Care Request: Request Number","Reason for Request"
"R03190073008","""Surprise"" shipping charge."
"R06190081131","$10 refund discount. couldn't cancel order or upgrade shipping (DVM wasn't working) courtesy"
"R07190086936","$14.95 shipping due to delayed auth from vet as well as refund for product cost of Epakitin; this portion of the order has been canceled and will not be shipped"
"R05190079810","10% courtesy for shipping delay"
"R04190074710","10% courtesy refund due to shipping delays"
"R05190078599","10% per Angela, client unhappy with shipping time"
"R01190064135","1000007272642 client called upset, for 2nd day shipping and still not rcvd, tracking shows expected delivery tomorrow via fed ex. order was placed late in the day on wed.and shipped on fri. to be rcvd tues. will refund per client request."
"R03190072270","1000009158377 client ordered on 3/21 with script on file and still not shipped. she chose 1-2 bus day shipping . I committed to refund only the 5.00 difference between the required 2nd day and the optional 1-2 bus day."
"R05190077709","1000010253209 was returned to the warehouse by the postal service. Client called in and provided an updated shipping address. She would like us to reship"
"R06190082055","1000011265343 client is upset that order wed 6th very late and paid the additional 5.00 for n/d but didnt ship yet. will refund the 5.00 for the ost between the 2 shipping options"
"R07190085944","1000012094649 - Ready for Pick  - customer payed for 1-2 day shipping - order was placed on 07/07/2019 - I explained a Sundays don't count as a business day - He feels he should get reimbursed for the $19.95 due to today is Tuesday and the order is just n"
"R07190085754","14.95 shipping paid is being refunded due to incorrect shipping being used over holiday with temp-sensitive product"
"R06190084386","15% for shipping delay"
"R03190071552","15% refund for shipping delay"
"R06190083445","15% shipping delay"
"R03190071437","15% shipping delay on order"
"R03190072658","15% shipping delay refund since we cannot flag order"
"R06190084000","19.95 shipping refund approved per lead April due to customer complaint and delay as they did not see Autoship email regarding price increase"
"R05190081056","19.95 shipping refund due to customer having to place second order (approved per lead)"
"R06190081096","20% courtesy refund, order should have had expedite shipping"
"R06190081099","20% courtesy refund for shipping delay"
"R01190064073","20% for shipping delay"
"R03190071547","20% of shipping cost refunded per Jenae F"
"R01190063942","20% plus shipping charge."
"R01190065856","20% refund for first purchase on AS and 14.95 for shipping"
"R06190081559","20% refund for shipping delay"
"R01190065427","20% refund for shipping delay"
"R06190081857","20% refund for shipping not arriving on time, 5th business day would have been 5/4 due to arrive 5/7"
"R05190078072","28 x Enrofloxacin Flavor Tablet 22.7mg and 28 x Enrofloxacin Flavor Tablet 136mg were shipped separate, and even though the 1-2 day shipping was selected, only 1 of the 2 packages were shipped at that speed"
"R03190070931","2nd day shipping did not arrive, per angela we can refund"
"R02190067587","2ND DAY SHIPPING PER HEIDI"
"R02190067827","3 cans damaged via shipping refunding for the 3 cans"
"R01190065092","50% for shipping issue"
"R03190070680","50% refund for shipping delay"
"R05190078282","6 cans were damaged during shipping."
"R06190084078","8 business days shipping time. 10% refund per Cory"
"R04190075335","Accidentally ordered the wrong food. - Complimentary 50% refund of food + $14.95 refund for shipping."
"R07190086574","According to Tracking info .... Clients original order (1000012037931) was lost in Transit by UPS. Reshipping to client. Per Cory"
"R05190080457","Address incomplete on original order, corrected address and flag ND shipping at no cost, almost out of med. 
4104 Oxford Ln Apt 301
Fairfax VA, 22030-3564"
"R05190077648","AE, reshipping courtesy of client."
"R06190084713","Agent didn't put CCR reship nor reshipped order to client. Reshipping order to client and closing case."
"R02190067156","agent error, client was charged shipping for something they have on AS"
"R06190081105","Agent error. the agent said hat she would stop the shipping date did not  and the client was charged anyway"
"R01190064765","Agent error - placed to incorrect shipping address"
"R07190086827","Agent guaranteed deliver date on 7/3/19. Order arrived 7/5/19. Please refund shipping fee"
"R03190070849","all cans in order were dented reshipping"
"R01190064178","amount lost during shipping"
"R02190069848","Angry regarding shipping delay"
"R01190063940","anna said to refund shipping"
"R01190063456","annoyed package delayed b/c holidaysrefunding shipping per EM"
"R05190080655","apartment number needed, not delivered. looks like apt number was cut off on shipping label."
"R06190083863","April approved 20% refund for shipping inconvenience  for client"
"R12180062962","As a courtesy refunding the ND shipping cost due to order being held in WAG and during the holidays delay to ship."
"R05190077393","Autoship chose the wrong address- that address hasn't been used in months and isn't on the account anymore. Reshipping"
"R04190076341","Autoship was manually placed w/ one time instead of the frequency on file resulting in $14.95 shipping charge. Need to refund."
"R04190073721","Autoship went to incorrect address - A grey area as to if it was an agent error or not. Reshipping as a one time courtesy."
"R04190074835","Autoship went to wrong address. Audra spoke with the clinic regarding the first reship and they confirmed the wrong address. Reshipping to the correct address."
"R05190078863","Bottle leaked during shipping"
"R06190082889","Box arrived at hub empty and damaged. Per Lucas, reshipping."
"R05190078493","broke during shipping"
"R07190086419","broke during shipping"
"R02190067613","called client back Emily M state we will get order out tomorrow at no addtional cost and submitted refund of 14.95 shipping informed client shipping refund can take 7 buisnesss days"
"R07190085527","called to track order: 1000011927065 placed on 6/28. Paid for 1-2 day shipping but the order is still awaiting vet authorzation."
"R03190070979","came back from usps with no shipping box as loss items."
"R01190064639","Canned food was dry. Reshipping one case for now."
"R05190080237","Cannot ship to PO Box - Refund per cancelled line item.
Refund shipping as well - Diet required $14.95 shipping."
"R05190078449","Cans never arrived with previous order, reshipping missing items."
"R05190076924","Carrier Issue causing delay. Refund Shipping charge"
"R05190076922","Carrier Issue causing delay. Refund Shipping charge"
"R07190086916","CASE# 02597739: ProbioticWise? Powder 2.5lb Bucket-3010129-07/18/19:Spoke with client aware of OOS item and ETA of 07/18/19. Will refund Next day shipping Fee 19.95 due to inconvenience."
"R06190083772","CCi to inform that they had never received autoship order 1000011360497. Confirmed shipping address was incorrect address, autoship was placed by agent. Reshipped per Morgan McGurk"
"R06190083057","Client's autoship glitched and did not order product when it should have. He had to manual place the order but was hoping for the ND shipping to be refund. Escalated client , we are refund as a courtesy this time."
"R02190069465","Client's husband had ordered the item from a different place and they have no use for the one they received from us. Client is aware she is resposible for shipping cost and the package needs to be unopened and undamaged before a refund can be issued."
"R05190078636","Client's medication is being sent back to us because the apt number got cut off on the shipping label. Started QA case to see if we can send back out due to shelf life of medication."
"R07190085802","Client's order arrived warm due to our error in shipping. Per Emily M, refunding shipping fee."
"R05190078209","Client's order did not get out to her overnight. Explained how our shipping process works and submitting a refund on shipping as a 1 time courtesy."
"R07190087326","Client's order was delayed due to pending auth with clinic. Refunding shipping as a 1 time courtesy."
"R07190085826","Client's order was part of orders that arrived late on the 3rd. Submitting refund for shipping fee."
"R01190065156","Client's package says delivered on the 10th but never received. They live in a high theft neighborhood so shipping to husbands office now instead. 
520 3rd Street #305 San Fran. Cali 94107 C/O Michael Calaure"
"R04190074115","client's pet doesn't need this medication anymore, she started to get very sad / crying so I refunded shipping to keep her from refusing package and disputing charges."
